token,datasets_count,total_rows,missing_values,missing_percentage,datasets
venus,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
sun-token,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
loopring,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
clearpool,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
orbs,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
stargate-finance,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
maker,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
lcx,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
wanchain,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
tellor,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
keep-network,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
bella-protocol,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
airswap,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
sushi,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
